0.4,3,150,,0.4 av
0.4,10,85,,88.33333333
0.4,30,30,,
1,3,210,,1 av
1,10,110,,123.3333333
1,30,50,,
5,3,400,,5 av
5,10,200,,253.3333333
5,30,160,,
,,,,
,,155,,
,,,,
,,,,
,3 av,253.3333333,,
,,,,
,10 av,131.6666667,,
,,,,
,30 av,80,,
